image_shg_2023,logo,,320,80
Jérémie Lemelin,string,,,
Karell Damour,string,,,
Karine Mallet,string,,,
Laura Turcotte,string,,,
Laurie Janelle,string,,,
Lilian Escomel,string,,,
Louis-Alexandre Louchard,string,,,
Luc Ferland,string,,,
Lydia Dumais,string,,,
Magalie Rosseeuw,string,,,
Manuella Coulombe,string,,,
Marc-Alexandre Boulanger-Milot,string,,,
Marc-Antoine Saindon,string,,,
Marc-Olivier Ouellet,string,,,
Marie Guillard,string,,,
Marie-Lou Boutin,string,,,
Marie-Pier Desmarais,string,,,
Martin Dubé,string,,,
Martin Saucier,string,,,
Mathieu Bastien,string,,,
Mathieu Gendron Denis,string,,,
Mathieu Richard,string,,,
Matthew Harris,string,,,
Maude Malboeuf,string,,,
Maxime Carrier,string,,,
Maxime Charron,string,,,
Maxime Corriveau-Trudel,string,,,
Maxime Ducasse,string,,,
Maxime Harrisson,string,,,
Maxime Poulin,string,,,
Maxime Proulx,string,,,
Maxime Rivard,string,,,
Maxime Turcotte,string,,,
Melvyn Piau,string,,,
Michael Cannon,string,,,
Michael Cousillas-Benoît,string,,,
Michaël Leblanc,string,,,
Mike Gomez,string,,,
Nathan Morasse,string,,,
Nicolas Bourgault,string,,,
Nicolas Dubois,string,,,
Nicolas Marleau-Deschenes,string,,,
Noufel Fraj,string,,,
Nour Polloni,string,,,
Olivier Boucher,string,,,
Olivier Bérubé,string,,,
Olivier Demers,string,,,
Pascal Brulotte,string,,,
Patrick Desbiens-Wright,string,,,
Patrick Vasile,string,,,
Pauline Frot,string,,,
Philippe Corbeil,string,,,
Philippe Gendreau,string,,,
Philippe Lebrun,string,,,
Philippe Troie,string,,,
Pierre Patard,string,,,
Pierre-Luc Grondines,string,,,
Raphael Corbin,string,,,
Raphael Mercier-Leclerc,string,,,
Raphael Royer-Huard,string,,,
Rebecca Cohen-Palacios,string,,,
Richard Dubreuil,string,,,
Richard Harvey-Levert,string,,,
Robert Simard,string,,,
Robin Ducoudré,string,,,
Robin Sunghoon Cho,string,,,
Roxanne Gingras,string,,,
Rudy Duro,string,,,
Sabrina Béliveau,string,,,
Samuel Dubois,string,,,
Samuel Harvey,string,,,
Samuel Hatin,string,,,
Sayan Goswami,string,,,
Sergii Pryshchepa,string,,,
Seydou Ouattara Ouinténi,string,,,
Sharam Sunstrum,string,,,
Simon Caux-Barge,string,,,
Simon Dompierre,string,,,
Stephane Bourque,string,,,
Stephane Prouilhac,string,,,
Sylvain Franco,string,,,
Sylvain Jubeau,string,,,
Sébastien Saucier,string,,,
Tatvagna Shah,string,,,
Thalia-Ann Côté-Ortiz,string,,,
Theo Querment,string,,,
Thiago Chagas Moraes,string,,,
Thierry Rioux,string,,,
Thomas Couturier,string,,,
Thomas Piot,string,,,
Tom Villeneuve-Pelletier,string,,,
Tommy Donnelly,string,,,
Tristan Roy-Nault,string,,,
Trystan Thibault,string,,,
Valentin Nicolats,string,,,
Vanessa Chapados-Arseneault,string,,,
Vincent Bernier,string,,,
Vincent Biagini,string,,,
Vincent Brousseau,string,,,
Vincent Leblanc-Pellerin,string,,,
Vincent Montminy,string,,,
Vincent Pageau,string,,,
William Parent-Labonte,string,,,
Xavier Flibotte,string,,,
Yannick Fleurit,string,,,
Yuriy Lisovyy (Юрій Лісовий),string,,,
BLANK,blank,,,
BLANK,blank,,,
BEENOX BABIES,logotext,,,
Alek Samson,string,,,
Alexis Paquet,string,,,
Charlotte Gosselin,string,,,
Dorina Chapdelaine,string,,,
Ethan Jubeau,string,,,
Maeve Garcia Grivel,string,,,
Mathis Delwarte,string,,,
Odalie Nadeau,string,,,
Philippe Assad-Filion,string,,,
Skye Grein,string,,,
Victoria Dompierre,string,,,
Violette Raymond,string,,,
Viviane Bilodeau,string,,,
Zack Pineau-Wright,string,,,
BLANK,blank,,,
BLANK,blank,,,
BEENOX THANKS,logotext,,,
Alex Vyskocil,string,,,
Alexandre Do Rego,string,,,
Alexandre Urie,string,,,
Alexis Harrisson,string,,,
Ali Adams,string,,,
Anne-Julie Bédard,string,,,
Anthony Lacasse,string,,,
Antoine Moineau,string,,,
Antoine Ouimet,string,,,
Benjamin-Pier Dumas,string,,,
Benoit Chemin,string,,,
Brittany Lagacé,string,,,
Catherine Lariviere,string,,,
Catherine Simard,string,,,
Chantal Couture,string,,,
Charles Anthony Gagnon Lemay,string,,,
Charles-Antoine Breton,string,,,
Cindy Villeneuve,string,,,
Clémence Dutel,string,,,
Corinne Bernier St-Pierre,string,,,
Cynthia Vandermouten,string,,,
David Sellier,string,,,
Dominic Ouellet,string,,,
Dylan Huard,string,,,
Ekian Desautels,string,,,
Elodie Grimard,string,,,
Enric Auclair-Giroux,string,,,
Francois Bernier,string,,,
Francois Taddei,string,,,
François Pelletier-Leclerc,string,,,
François Vaillancourt,string,,,
Frederic Mailhot,string,,,
Frederic Wilson,string,,,
Gabriel Vallee Bolduc,string,,,
Guillaume Dube,string,,,
Guillaume Gagne-Gauthier,string,,,
Guillaume Joannette,string,,,
Hassen Samaali,string,,,
Hayden Tremblay,string,,,
Hendrika Allard,string,,,
Jacques Levesque,string,,,
James Garant,string,,,
Jeremy St-Amant,string,,,
Jimmy Jacques,string,,,
Jimmy Laberge,string,,,
Johnny Vibert,string,,,
Jonathan Gosselin,string,,,
Jonathan Lacasse,string,,,
Jonathan Lippert,string,,,
Jonathan Yu,string,,,
Joëlle Pigeon,string,,,
Kellee Hill,string,,,
Keven Landry-Cantin,string,,,
Kevin Vallée,string,,,
Leonard Jeannerot,string,,,
Lilian Pouvreau,string,,,
Magali Garceau,string,,,
Marc-Andre Gagne,string,,,
Marco Deschamps,string,,,
Marie-Ella Pinsonneault,string,,,
Marie-Eve Tremblay,string,,,
Marie-Hélène Morin Fafard,string,,,
Marielle Dion-Robidoux,string,,,
Mario Almaguer,string,,,
Martin Gagnon,string,,,
Mathieu Bibeau-Morin,string,,,
Mathieu Brouillette,string,,,
Mathieu Denis,string,,,
Mathieu Frechette,string,,,
Mathieu Gosselin,string,,,
Mathieu Landry,string,,,
Matthieu Labbé,string,,,
Maxime Comtois,string,,,
Maxime Paradis,string,,,
Michael Simard,string,,,
Michaël Simoneau,string,,,
Olivier Chalifoux,string,,,
Olivier Raymond,string,,,
Philippe-Olivier Lapalme,string,,,
Romain Defieuw,string,,,
Rosanne Gravel,string,,,
Roxane Whittom,string,,,
Samuel Dallaire,string,,,
Scott Delaney,string,,,
Simon Duchesne,string,,,
Sophie Boucher,string,,,
Sophie Brouillette-St-Aubin,string,,,
Steve Demers,string,,,
Sébastien Daigle,string,,,
Sébastien Michel,string,,,
Thomas Rigaud,string,,,
Timoteo Enrique Latisnere Mejia,string,,,
Ting Wen,string,,,
Vanessa Fournier,string,,,
Xavier Breton,string,,,
Yanick Senechal,string,,,
BLANKLONG,blank,,,
BLANKLONG,blank,,,
BLANKLONG,blank,,,
BLANKLONG,blank,,,
image_shanghai_2023,logo,,320,80
BLANK,blank,,,
BLANK,blank,,,
CREDITS/DEPT_MANAGEMENT,dept,,,
John Laurence,string,,,
BLANK,blank,,,
CREDITS/DEPT_ADMIN,dept,,,
Luna Lu,string,,,
CREDITS/DEPT_ART,dept,,,
Aimee Du,string,,,
Aimy Weng,string,,,
Arik Zheng,string,,,
Bin Ni,string,,,
Bridge Ma,string,,,
Carl Lin,string,,,
Cat Deng,string,,,
Chang Yang,string,,,
Chaorong Wu,string,,,
Chaoyang Zhou,string,,,
Chenchao Tao,string,,,
Cheng Zeng,string,,,
Chenglong Zhou,string,,,
Chenguang Zhang,string,,,
Comet Zhang,string,,,
Daniel Jiang,string,,,
Daniel Zhang,string,,,
Dante Nan,string,,,
Dianrong Zhou,string,,,
Ding Yu,string,,,
Disen Yi,string,,,
Dongze Liu,string,,,
Fandy Wang,string,,,
Francis Wang,string,,,
Frank Chen,string,,,
Franke Yang,string,,,
Gustave Ling,string,,,
Hanxin He,string,,,
Haocheng Tao,string,,,
Jackson Zhan,string,,,
Jason Li,string,,,
Jeffrey Chi,string,,,
Jesseka Sheng,string,,,
Jia Huang,string,,,
Jiabin Li,string,,,
Jiahe Jiang,string,,,
Jian Wei,string,,,
Jiaxin Wu,string,,,
Jiayi Chen,string,,,
Jiayu Wang,string,,,
Jie Kang,string,,,
Jie Tang,string,,,
Jie Wu,string,,,
Jinhong Guo,string,,,
Judy Zhou,string,,,
Kai Qin,string,,,
Kede Xu,string,,,
Kexin Zhao,string,,,
Kun Wang,string,,,
Lambert Zhang,string,,,
Lang Zuo,string,,,
Leia Du,string,,,
Leo Li,string,,,
Leo Shen,string,,,
Li Xu,string,,,
Lu Liu,string,,,
Lute Li,string,,,
Matthew Wang,string,,,
Mengjing Mao,string,,,
Min Li,string,,,
Mingshen Zeng,string,,,
Mingsong Bao,string,,,
Mucho Zhang,string,,,
Neil Qi,string,,,
Nikolai Zhang,string,,,
Ola Guo,string,,,
Peng Li,string,,,
Phil Ma,string,,,
Pin Fang,string,,,
Pixel Cui,string,,,
Qian Li,string,,,
Qichao Wang,string,,,
Qinghu Meng,string,,,
Qingyuan Deng,string,,,
Qingyun Dai,string,,,
Ricky Wang,string,,,
Riven Chen,string,,,
Robert Li,string,,,
Ryan Feng,string,,,
Shanshan Gu,string,,,
Shilong Dai,string,,,
Shoutao Tang,string,,,
Shuo Zhao,string,,,
Shurui Sun,string,,,
Sia Wei,string,,,
Simon Wang,string,,,
Song Yang,string,,,
Stephen Sun,string,,,
Stone Zhang,string,,,
Tigger Liang,string,,,
Tonia Zhao,string,,,
Tuffy Shi,string,,,
Weijie Ji,string,,,
Weiming Zhu,string,,,
Weiwei Cai,string,,,
Xiaogang Mao,string,,,
Xiaoyuan Fu,string,,,
Xin Lei,string,,,
Xu Zhou,string,,,
Xuan Feng,string,,,
Xuejiao Zhang,string,,,
Xuliang Peng,string,,,
Yanhao Huang,string,,,
Yindi Yue,string,,,
Yuanqing Zhu,string,,,
Yuanyuan Jiao,string,,,
Yudi Xiao,string,,,
Yufu Huang,string,,,
Yuki Yang,string,,,
Yukkuri Ding,string,,,
Yun Deng,string,,,
Yunjian Wang,string,,,
Yunying Zhang,string,,,
Yutao Chen,string,,,
Yutian Li,string,,,
Zenghui Guan,string,,,
Zhaoli Yang,string,,,
Zhengyu Luo,string,,,
Zhigang Tang,string,,,
Zhijie Li,string,,,
Zhiyao Qi,string,,,
Zifeng Liang,string,,,
Ziting Xu,string,,,
CREDITS/DEPT_DESIGN,dept,,,
Bill Lei,string,,,
Dante Yang,string,,,
Dennis Guan,string,,,
Erin Qin,string,,,
Felix Zhou,string,,,
Hammer Wang,string,,,
Joey Yan,string,,,
Jonathan Li,string,,,
Jun Xie,string,,,
Lewis Cui,string,,,
Marin Liu,string,,,
Pary Chen,string,,,
Ray Zhang,string,,,
Sean Yan,string,,,
Shen Liang,string,,,
Tao Gu,string,,,
Weihan Lv,string,,,
Xiang Song,string,,,
Yizhen Chen,string,,,
Yue Hu,string,,,
CREDITS/DEPT_ENGINEERING,dept,,,
Allen Wu,string,,,
Azriel Liang,string,,,
Barry Ding,string,,,
Bochang Wu,string,,,
Bruce Chen,string,,,
Cedar Zhang,string,,,
Chris Yu,string,,,
Christopher Chua,string,,,
David Ying,string,,,
Dylan Bao,string,,,
Eric Yan,string,,,
Fengyang Wen,string,,,
Giovedi Zhou,string,,,
Harry Cai,string,,,
Jack Zhang,string,,,
Jake Zhang,string,,,
Jerry Wu,string,,,
Jingkai Wang,string,,,
Jinhua Yao,string,,,
Joey Yu,string,,,
Leo Du,string,,,
Lisa Qiu,string,,,
Neo Liu,string,,,
Qiang Liu,string,,,
Quan Liu,string,,,
Sebastian Luo,string,,,
Simmon Cui,string,,,
Steve Gu,string,,,
Suming Meng,string,,,
Thomas Liu,string,,,
Tyler An,string,,,
Viktor Chen,string,,,
Virgil Wu,string,,,
Wei Cao,string,,,
Xiang Xie,string,,,
Xiaobo Wang,string,,,
Xing Wang,string,,,
Xinhui Chen,string,,,
Yichao Ma,string,,,
Yuting Xiao,string,,,
CREDITS/DEPT_IT,dept,,,
Edward Ruan,string,,,
Jayden Yan,string,,,
Tommy Chen,string,,,
CREDITS/DEPT_PRODUCTION,dept,,,
Charles Tao,string,,,
Jacopo Agosto,string,,,
Jesse Yang,string,,,
Michele Iorio,string,,,
Phoebe Luo,string,,,
Rain Huang,string,,,
Sabrina Xia,string,,,
Sharon Zhao,string,,,
Susan Wang,string,,,
Vivienne Li,string,,,
Ying Cui,string,,,
Ying Huang,string,,,
CREDITS/DEPT_QA,dept,,,
Fang Li,string,,,
Flora Fu,string,,,
Gavin Zong,string,,,
Haijun Ru,string,,,
Harry Han,string,,,
Jacky Zhu,string,,,
Jason Xie,string,,,
Jay Liu,string,,,
Jerry Hong,string,,,
Jin Liu,string,,,
Jingjing Mei,string,,,
Kaka Yang,string,,,
Linjun Zhang,string,,,
Liqiu Li,string,,,
Lorry Li,string,,,
Louis Li,string,,,
Mark Ma,string,,,
Minjie Shi,string,,,
Necky Zhang,string,,,
Pengyang Geng,string,,,
Pinzhao Lv,string,,,
Reed Ren,string,,,
Sam Shen,string,,,
Sheng Zhou,string,,,
Shengfei Gu,string,,,
Shilong Qiu,string,,,
Theodore Wang,string,,,
Weijiong Shen,string,,,
Xiaowei Bai,string,,,
Xiumiao Peng,string,,,
Yiming Ni,string,,,
Yoite Ni,string,,,
Yolanda Lu,string,,,
Yuanlong Wu,string,,,
Zeyu Chen,string,,,
Ziye Liu,string,,,
Zunhao Ni,string,,,
BLANKLONG,blank,,,
BLANKLONG,blank,,,
BLANKLONG,blank,,,
BLANKLONG,blank,,,
BLANKLONG,blank,,,
image_tfb_2023,logo,,320,80
BLANK,blank,,,
BLANK,blank,,,
CREDITS/DEPT_MANAGEMENT,dept,,,
Avery Lodato,string,,,
Paul Yan,string,,,
BLANK,blank,,,
CREDITS/DEPT_ADMIN,dept,,,
Elise Mundell,string,,,
Sydney Del Signore,string,,,
CREDITS/DEPT_ANIMATION,dept,,,
Andy Salvo,string,,,
Dan Ross,string,,,
Eric Johnson,string,,,
Eric Sturgeon,string,,,
Howard Hsu,string,,,
SuTien Wong,string,,,
CREDITS/DEPT_ART,dept,,,
Amber Long,string,,,
Carson Utz,string,,,
Colton Piso,string,,,
Daniel Ikeda,string,,,
Dev Madan,string,,,
Donald Yatomi,string,,,
Gavin Grigsby,string,,,
Gift Kerdlapee,string,,,
Granger Martin,string,,,
Mandy Draeger,string,,,
Michael Janov,string,,,
Pablo Fernandez,string,,,
Paul Nelson,string,,,
Raymond Fero,string,,,
Romel Revollo,string,,,
Ron Kee,string,,,
Soojin Lee,string,,,
Teck Jin Oh,string,,,
Terry Allen,string,,,
Winston Chen,string,,,
CREDITS/DEPT_AUDIO,dept,,,
Pierce Cram,string,,,
Stephan Vankov,string,,,
CREDITS/DEPT_CREATIVE,dept,,,
Daniel Neil,string,,,
Lou Studdert,string,,,
CREDITS/DEPT_DESIGN,dept,,,
Ben Schlegel,string,,,
Brian Fricks,string,,,
Carl Lee,string,,,
Cassidy Landers-Gonzales,string,,,
Jesse Kuroki,string,,,
John Barnes,string,,,
Jonathan Leland,string,,,
Lunaria Light,string,,,
Matt McManus,string,,,
Meha Murthy,string,,,
Ray West,string,,,
Rolef Conlan,string,,,
Stephen Ivanauskas,string,,,
Toby Schadt,string,,,
Vincent Wong,string,,,
CREDITS/DEPT_ENGINEERING,dept,,,
Amy Lewis,string,,,
Aniruddha Srinivas Joshi,string,,,
Axi Ma,string,,,
Brent Gumns Hostrawser,string,,,
Cesar Caceres,string,,,
Christopher Brandt,string,,,
Christopher Phihung Huynh,string,,,
Ethan Benanav,string,,,
Gavin Camlin,string,,,
Ghazal Jain,string,,,
Jake Robbins,string,,,
Jim Stoddard,string,,,
John Rodenburg,string,,,
Jordan Hueckstaedt,string,,,
Martin Jennings-Teats,string,,,
Michael Cheung,string,,,
Michael Scandizzo,string,,,
Peter Lipson,string,,,
Sami Tabikh,string,,,
Sarah Jones,string,,,
Shaun Dunne,string,,,
Trever Daniels,string,,,
Troy Visineau,string,,,
CREDITS/DEPT_IT,dept,,,
Judy Bartlett,string,,,
Vern Roberts,string,,,
CREDITS/DEPT_PRODUCTION,dept,,,
Maria Rosseau,string,,,
Matt Copeland,string,,,
Scot Tumlin,string,,,
Stephen Ricossa, Jr,string,,,
CREDITS/DEPT_QA,dept,,,
Christopher Bruno,string,,,
Daniel Ladiano,string,,,
Jeffrey Myerson,string,,,
Rustin Groody,string,,,
Spencer Berg,string,,,
Varis Karklins,string,,,
BLANKLONG,blank,,,
BLANKLONG,blank,,,
BLANKLONG,blank,,,
BLANKLONG,blank,,,
BLANKLONG,blank,,,
image_central_tech_2023,logo,,320,80
BLANK,blank,,,
BLANK,blank,,,
Abel Lozano,string,,,
Abhishek Sama,string,,,
Adam Rocha,string,,,
Adetunji Adeshina,string,,,
Adrian Astley,string,,,
Adrien Dubouchet,string,,,
Aki Hogge,string,,,
Alberto Campo,string,,,
Aldrich Huang,string,,,
Alex Raitz,string,,,
Alexander Lee,string,,,
Allan Jones,string,,,
Amber Kobold,string,,,
Amit Bakshi,string,,,
Amy Rogers,string,,,
Andre McCormick,string,,,
Andrew Hunt,string,,,
Andrew Searles,string,,,
Andrew Shurney,string,,,
Anne Chen,string,,,
Anuja Milind Kulkarni,string,,,
Archit Kapoor,string,,,
Ari Silvennoinen,string,,,
Arman Dehpanah,string,,,
Arnau Gamez i Montolio,string,,,
Aryan Sharma,string,,,
BJ Golding,string,,,
Ben Stragnell,string,,,
Bilal Khan,string,,,
Brad Kusy,string,,,
Brendan Mackrill,string,,,
Brennan Shacklett,string,,,
Brent Arnst,string,,,
Brian Leake,string,,,
Britt Porrazzo,string,,,
Cameron Altenhof-Long,string,,,
Carly Wolfbrandt,string,,,
Cesar Stastny,string,,,
Charles Corbett,string,,,
Charles Smith,string,,,
Charles Zaporteza,string,,,
Charlie Birtwistle,string,,,
Chris Brown,string,,,
Chris Cookson,string,,,
Christer Ericson,string,,,
Christian Martineau,string,,,
Christopher Achenbach,string,,,
Christopher Codding,string,,,
Christopher Reimschussel,string,,,
Cian Morar,string,,,
Daire Garvey,string,,,
Damian Pfeffer,string,,,
Damianos Gkouzkouris,string,,,
Dan Hawke,string,,,
Daniel Flores,string,,,
Daniel Gerber,string,,,
Daniel Meirovitch,string,,,
Danny Chan,string,,,
David Connell,string,,,
David Durst,string,,,
David Landau,string,,,
Denise Flores,string,,,
Dimiter Stanev,string,,,
Edgar Barbosa,string,,,
Eduardo Novella Lorente,string,,,
Edwin Yung,string,,,
Elaine Zhong,string,,,
Eric Bernard,string,,,
Erico Royce Bayani,string,,,
Evalina Shin,string,,,
Eve Mah Thring,string,,,
Everton Patitucci,string,,,
Evgeny Andreeshchev,string,,,
Felix Bridault,string,,,
Feng Xie,string,,,
Fiana Vickers,string,,,
Gabby Ybanez,string,,,
Gabriela Sistrunk (Bernal),string,,,
Garrett Switzer,string,,,
Gaurav Baney,string,,,
Gilles Bejjani,string,,,
Gregory Lindor,string,,,
Haley Tortorich,string,,,
Harsha Krishne Gowda,string,,,
Heidi Lin,string,,,
Igor Maksymenko,string,,,
Illya Kostyuk,string,,,
Jake Pardo,string,,,
James Bieron,string,,,
James Mergiel,string,,,
Jamie Venable,string,,,
Jamison Huber,string,,,
Jan van Valburg,string,,,
Jason Leigh,string,,,
Jason Weber,string,,,
Jeff Taylor,string,,,
Jennifer Velazquez,string,,,
Jilin Yang,string,,,
Jiyoon Park,string,,,
Joe Bauman,string,,,
John Siciliano,string,,,
Jon Lee,string,,,
Jonas Gillberg,string,,,
Jordan Humphrey,string,,,
Josh Blommestein,string,,,
Josh Bridge,string,,,
Josiah Manson,string,,,
Josiah Theddy Peralta,string,,,
Joxean Koret,string,,,
Julie Haining,string,,,
Julius Narvilas,string,,,
Justin Ryan Hernandez,string,,,
Kai Schmidt,string,,,
Kavya Kavanakudy,string,,,
Ke Wan,string,,,
Kelly Levier,string,,,
Ken Lee,string,,,
Kendell Fossum,string,,,
Kiara Somerville,string,,,
Kiera Wheatley,string,,,
Kimi Holsapple,string,,,
Kingsley Hopking,string,,,
Klaudiusz Zych,string,,,
Koen Vroeijenstijn,string,,,
Kristofer Magpantay,string,,,
Kurt Mitchell,string,,,
Larry Lowe,string,,,
Laura de Avila Degasperi,string,,,
Lewis Hallam,string,,,
Liam Fike,string,,,
Lisa Ikeda,string,,,
Lisa Moir,string,,,
Luke Webb,string,,,
Marian Ekweogwu,string,,,
Marie Bagnell,string,,,
Martin Hedlund,string,,,
Mathew Varghese,string,,,
Matt Hurtado,string,,,
Matthew Dibble,string,,,
Matthew Shin,string,,,
Matthew Vitalone,string,,,
Maya Lake,string,,,
Meemansa Rathod,string,,,
Micah Oates,string,,,
Michael Kopietz,string,,,
Michael Vance,string,,,
Michal Gamrat,string,,,
Michal Iwanicki,string,,,
Mike Stark,string,,,
Morgan Legal,string,,,
Nabiha Naqvie,string,,,
Nancy Hsieh,string,,,
Nathanael Gura,string,,,
Neil Fishman,string,,,
Neil Holmes,string,,,
Nia Kiigan,string,,,
Niall Walsh,string,,,
Nisha Bhuva,string,,,
Nithin Raghavan,string,,,
Noah Sarid,string,,,
Norm Harms,string,,,
Oliver Parker,string,,,
Parth Arora,string,,,
Patrick Doane,string,,,
Patrick Griffith,string,,,
Paul Edelstein,string,,,
Paul Haile,string,,,
Pavel Tumik,string,,,
Pawel Cichocki,string,,,
Peiman Jafari,string,,,
Peter Heppenstall,string,,,
Peter Shirley,string,,,
Peter-Pike Sloan,string,,,
Phil Underhill,string,,,
Philippe Paquet,string,,,
Pramod Setlur Prakash,string,,,
Priscilla Angel Abdelazim,string,,,
Ray Franklin,string,,,
Reed Foster,string,,,
Richard Mitton,string,,,
Robert Balcorta,string,,,
Robert DeArcos,string,,,
Romain Thomas,string,,,
Romulo Pedroza,string,,,
Ronald Chen,string,,,
Ronald Ginoti,string,,,
Rotimi Abiona,string,,,
RunYu (Edmond) Xue,string,,,
Russell Warneboldt,string,,,
Rusty Jackson,string,,,
Ruth Schwartz,string,,,
Ryan Rogers,string,,,
Ryan Sammartino,string,,,
Ryan de'Caneva,string,,,
Saatvik Gangavarapu,string,,,
Sanghawk Lee,string,,,
Scott Anderson,string,,,
Sean Cortes,string,,,
Sean Houghton,string,,,
Sela Asore,string,,,
Shareef Raheem,string,,,
Shaun Prince,string,,,
Siddhey Mahadik,string,,,
Sneha Reddy,string,,,
Sophia Worley,string,,,
Stephanie Chace,string,,,
Stephanie Chavez Alvarez,string,,,
Stephen Broadley,string,,,
Steven Pearce,string,,,
Supreeth Kabbin,string,,,
Tan La,string,,,
Tanner Plumb,string,,,
Tanner Zigrang,string,,,
Taryn Herrly,string,,,
Thomas Roughton,string,,,
Tim McGrath,string,,,
Tom Legal,string,,,
Tom McDevitt,string,,,
Tory Tyksinski,string,,,
Tsvetelin (Vincent) Choranov,string,,,
Tyler Wiederien,string,,,
Uma Karra,string,,,
Vassilis Poulopoulos,string,,,
Vijendar Komalla,string,,,
Ville Cantory,string,,,
Viviane Takeda,string,,,
Wade Brainerd,string,,,
William Brode,string,,,
William Rosen,string,,,
Xinya Gao,string,,,
Yannick Nguyen,string,,,
BLANK,blank,,,
BLANK,blank,,,
ACTIVISION CENTRAL TECH BABIES,logotext,,,
Elio Thomas,string,,,
Emma Gura,string,,,
Juniper Corbett,string,,,
Maya Thomas,string,,,
Valentina Setlur,string,,,
BLANKLONG,blank,,,
BLANKLONG,blank,,,
BLANKLONG,blank,,,
BLANKLONG,blank,,,
image_demonware_2023,logo,,320,80
BLANK,blank,,,
BLANK,blank,,,
Aaron Liu,string,,,
Aaron Sharkey,string,,,
Abe Hwang,string,,,
Abraham Preciado Morales,string,,,
Adam Hynek,string,,,
Adam Penner,string,,,
Adham Sorour,string,,,
Adit Mehta,string,,,
Aidan Lambe,string,,,
Alaa Al-Ramly,string,,,
Alan Hall,string,,,
Alan Lavery,string,,,
Albert Hynek,string,,,
Alex Blackwell,string,,,
Alex Boyd,string,,,
Alex Miller,string,,,
Alexis Sotto Maior,string,,,
Ali Vakilzade,string,,,
Allan Kumka,string,,,
Allen Zhang,string,,,
Ally Barra,string,,,
Alvin Cheung,string,,,
Amanda Black,string,,,
Amir Fatemi,string,,,
Amish Shah,string,,,
Amy Collins,string,,,
An-Chih Tsai,string,,,
Andre Campos,string,,,
Andrea Boonyarungsrit,string,,,
Andreas Anglin,string,,,
Andrei Pampukha,string,,,
Andrew Mitchell,string,,,
Andrew Rowe,string,,,
Andrew Yuen,string,,,
Andrew （虞宏波） Yu,string,,,
Andrey Lysov,string,,,
Andy Phillips,string,,,
Angela D Scott,string,,,
Angela Wang,string,,,
Animesh Kanabar,string,,,
Antoine Lepine,string,,,
Art Santos,string,,,
Arthur Mencke,string,,,
Artun Duman,string,,,
Artur Gukasian,string,,,
Asako Matsuoka,string,,,
Attheera Rachkeeree,string,,,
Avery Devlin,string,,,
Ayokunle Onamusi,string,,,
Ayush Ghai,string,,,
Bassel Ashi,string,,,
Björn Grönesjö,string,,,
Bowen He,string,,,
Brandon Rasmussen,string,,,
Brendan Fields,string,,,
Bruno Marques,string,,,
Byron Pile,string,,,
Caitlin Ah Sing,string,,,
Calvin Choi,string,,,
Camerin Altenhof-Long,string,,,
Camy Tran,string,,,
Cara Wills,string,,,
Carlo Messere,string,,,
Casey Knutson,string,,,
Cathal O'Halloran,string,,,
Catherine Mccarthy,string,,,
Chaudhary Guroosh Singh,string,,,
Chenyang Nie,string,,,
Cheryl Hepas,string,,,
Chris Kimberley,string,,,
Chris Mcknight,string,,,
Christopher Tan,string,,,
Chuan Zhang,string,,,
Ciara Holmes,string,,,
Clark Polo,string,,,
Colin Cyr,string,,,
Conor Conroy,string,,,
Cormac Blackwell,string,,,
Cormac Smartt,string,,,
Cristina Lester,string,,,
Curtis Onuczko,string,,,
Damien Marshall,string,,,
Dan Blustein,string,,,
Dan Pereira,string,,,
Daniel Casari,string,,,
Daniel Lin,string,,,
Daniella Almeida,string,,,
Dara Price,string,,,
Daria Golubova,string,,,
Darrin Nguyen,string,,,
David Ballano-Fernandez,string,,,
David Grant,string,,,
David Landau,string,,,
David Munton,string,,,
David Neary,string,,,
David Rux,string,,,
David Ryan,string,,,
David Villatoro,string,,,
Deives Michellis,string,,,
Derek Lindahl,string,,,
Derick Moncado,string,,,
Dermot Hanley,string,,,
Devin Glover,string,,,
Dmitri Burakov,string,,,
Dustin Boersma,string,,,
Dustin Koupal,string,,,
Dwayne Schmous,string,,,
Dylan Dowling,string,,,
Ebby Jeyapaul,string,,,
Eden （王海青） Wang,string,,,
Edgar Baudry,string,,,
Edwin Elisia,string,,,
Emily Delisle,string,,,
Emily Mecke,string,,,
Emma Li,string,,,
Emma Mccarthy,string,,,
Enrique Mendoza,string,,,
Eric Ripa,string,,,
Ery Polovina,string,,,
Esteban Diaz,string,,,
Etienne Cournoyer,string,,,
Eva Goins,string,,,
Fan Jia,string,,,
Farzin Faghihi,string,,,
Flavie Soudant,string,,,
Frances Sin,string,,,
Francis Wan,string,,,
Frederico Cerqueira Alves,string,,,
Froilán Regueiro Noguera,string,,,
Gabor Pardi-Kis,string,,,
Gabriel Reyes,string,,,
Gabriele Cerami,string,,,
Gary Quan,string,,,
Gatlin Rowe,string,,,
Gemma Butterly,string,,,
George Adyrhaiev,string,,,
George Miller,string,,,
George Moss,string,,,
Glen Powley,string,,,
Grace Li,string,,,
Graeme Baker,string,,,
Graeme Bates,string,,,
Grant Cahill,string,,,
Grant Rhodes,string,,,
Greg Mayer,string,,,
Greg Smith,string,,,
Gunjan Sharman,string,,,
Hamad Deshmukh,string,,,
Hang Duong,string,,,
Harsha Krishne Gowda,string,,,
Henry Chan,string,,,
