iw8_me_riotshield,sticker,0,loadout_showcase_preview_large,,,,,0
iw9_lm_rkilo,backpiece,0,,,-1,,,0
iw9_lm_rkilo,muzzle,0,,,0.5,,,0
iw9_lm_rkilo,reargrip,0,,,-1.5,,-2,0
iw9_lm_ngolf7,muzzle,0,,,-25.5,,-0.5,0
iw9_lm_ngolf7,frontpiece,0,,,18,,-0.1,0
iw9_lm_ngolf7,extra,0,,,-0.5,,-1.5,0
iw9_lm_ngolf7,optic,0,,,,,0.2,0
iw9_lm_ngolf7,backpiece,0,,,-1.8,,-0.2,0
iw9_lm_ngolf7,reargrip,0,,,,,,0
iw9_lm_ngolf7,receiver,0,,,,,,0
iw9_lm_ngolf7,magazine,0,,,-1,,,0
iw9_lm_ngolf7,undermount,0,,,3,,-3,0
iw9_dm_sa700,receiver,0,,,-1.5,,1,0
iw9_dm_sa700,magazine,0,,,-4,,-1,0
iw9_dm_sa700,frontpiece,0,,,,,,0
iw9_dm_sa700,extra,0,,,-1,,0.5,0
iw9_dm_sa700,optic,0,,,,,,0
iw9_dm_sa700,undermount,0,,,1.5,,,0
iw9_dm_sa700,backpiece,0,,,,,,0
iw9_dm_sa700,muzzle,0,,,,,,0
iw9_dm_sa700,reargrip,0,,,,,,0
iw9_dm_sa700,bolt,0,,,,,,0
